No.,Time,Protocol,Length,Info,Label
212,3.945408,10,86,24,5
213,3.945665,10,86,24,5
214,3.94593,10,86,24,5
215,3.946188,10,86,24,5
216,3.946481,10,86,24,5
217,3.946739,10,86,24,5
218,3.946992,10,86,24,5
219,3.947256,10,86,24,5
220,3.947565,10,86,24,5
221,3.947827,10,86,24,5
222,3.948087,10,86,24,5
223,3.948376,10,86,24,5
224,3.948639,10,86,24,5
225,3.948899,10,86,24,5
226,3.94916,10,86,24,5
227,3.949449,10,86,24,5
228,3.949708,10,86,24,5
229,3.949962,10,86,24,5
230,3.950244,10,86,24,5
231,3.950518,10,86,24,5
232,3.950774,10,86,24,5
233,3.951034,10,86,24,5
234,3.95132,10,86,24,5
235,3.951581,10,86,24,5
236,3.951839,10,86,24,5
237,3.952098,10,86,24,5
238,3.952385,10,86,24,5
239,3.952659,10,86,24,5
240,3.952916,10,86,24,5
241,3.953194,10,86,24,5
242,3.953462,10,86,24,5
243,3.953717,10,86,24,5
244,3.953973,10,86,24,5
245,3.95426,10,86,24,5
246,3.954522,10,86,24,5
247,3.954778,10,86,24,5
248,3.95504,10,86,24,5
249,3.955333,10,86,24,5
250,3.955593,10,86,24,5
251,3.955852,10,86,24,5
252,3.956134,10,86,24,5
253,3.956401,10,86,24,5
254,3.956656,10,86,24,5
255,3.956911,10,86,24,5
256,3.957178,10,86,24,5
257,3.957435,10,86,24,5
258,3.957688,10,86,24,5
259,3.957943,10,86,24,5
260,3.958207,10,86,24,5
261,3.958466,10,86,24,5
262,3.958724,10,86,24,5
263,3.958978,10,86,24,5
264,3.959258,10,86,24,5
265,3.959518,10,86,24,5
266,3.959777,10,86,24,5
267,3.960037,10,86,24,5
268,3.960295,10,86,24,5
269,3.960551,10,86,24,5
270,3.960807,10,86,24,5
271,3.961068,10,86,24,5
272,3.961327,10,86,24,5
273,3.961589,10,86,24,5
274,3.961845,10,86,24,5
275,3.962103,10,86,24,5
276,3.96236,10,86,24,5
277,3.962627,10,86,24,5
278,3.96288,10,86,24,5
279,3.963142,10,86,24,5
280,3.963399,10,86,24,5
281,3.963661,10,86,24,5
282,3.963915,10,86,24,5
283,3.964178,10,86,24,5
284,3.964432,10,86,24,5
285,3.964706,10,86,24,5
286,3.964963,10,86,24,5
287,3.965219,10,86,24,5
288,3.965476,10,86,24,5
289,3.965738,10,86,24,5
290,3.965994,10,86,24,5
291,3.966252,10,86,24,5
292,3.966513,10,86,24,5
293,3.966778,10,86,24,5
294,3.967034,10,86,24,5
295,3.967287,10,86,24,5
296,3.967543,10,86,24,5
297,3.967798,10,86,24,5
298,3.968057,10,86,24,5
299,3.968317,10,86,24,5
300,3.968575,10,86,24,5
301,3.968834,10,86,24,5
302,3.969106,10,86,24,5
303,3.969361,10,86,24,5
304,3.969621,10,86,24,5
305,3.96988,10,86,24,5
306,3.970152,10,86,24,5
307,3.970408,10,86,24,5
308,3.97067,10,86,24,5
309,3.970923,10,86,24,5
310,3.971207,10,86,24,5
311,3.971472,10,86,24,5
312,3.971728,10,86,24,5
313,3.972143,10,86,24,5
314,3.972431,10,86,24,5
315,3.972702,10,86,24,5
316,3.972962,10,86,24,5
317,3.973226,10,86,24,5
318,3.973483,10,86,24,5
319,3.973747,10,86,24,5
320,3.974015,10,86,24,5
321,3.974285,10,86,24,5
322,3.97455,10,86,24,5
323,3.974812,10,86,24,5
324,3.97507,10,86,24,5
325,3.975322,10,86,24,5
326,3.975598,10,86,24,5
327,3.975854,10,86,24,5
328,3.976106,10,86,24,5
329,3.97636,10,86,24,5
330,3.976622,10,86,24,5
331,3.976879,10,86,24,5
332,3.977131,10,86,24,5
333,3.977384,10,86,24,5
334,3.977657,10,86,24,5
335,3.977909,10,86,24,5
336,3.978162,10,86,24,5
337,3.97842,10,86,24,5
338,3.978675,10,86,24,5
339,3.978929,10,86,24,5
340,3.979182,10,86,24,5
341,3.979452,10,86,24,5
342,3.979715,10,86,24,5
343,3.979966,10,86,24,5
344,3.980215,10,86,24,5
345,3.980473,10,86,24,5
346,3.980741,10,86,24,5
347,3.980995,10,86,24,5
348,3.981251,10,86,24,5
349,3.98151,10,86,24,5
350,3.981764,10,86,24,5
351,3.982016,10,86,24,5
352,3.98227,10,86,24,5
353,3.982523,10,86,24,5
354,3.982776,10,86,24,5
355,3.983031,10,86,24,5
356,3.983318,10,86,24,5
357,3.983583,10,86,24,5
358,3.983841,10,86,24,5
359,3.984096,10,86,24,5
360,3.984369,10,86,24,5
361,3.984625,10,86,24,5
362,3.984879,10,86,24,5
363,3.985131,10,86,24,5
364,3.985395,10,86,24,5
365,3.985647,10,86,24,5
366,3.985901,10,86,24,5
367,3.986157,10,86,24,5
368,3.98643,10,86,24,5
369,3.986691,10,86,24,5
370,3.986942,10,86,24,5
371,3.987202,10,86,24,5
372,3.987458,10,86,24,5
373,3.987711,10,86,24,5
374,3.987964,10,86,24,5
375,3.98823,10,86,24,5
376,3.988487,10,86,24,5
377,3.988746,10,86,24,5
378,3.988999,10,86,24,5
379,3.989264,10,86,24,5
380,3.989521,10,86,24,5
381,3.989774,10,86,24,5
382,3.99003,10,86,24,5
383,3.990308,10,86,24,5
384,3.990567,10,86,24,5
385,3.990818,10,86,24,5
386,3.991069,10,86,24,5
387,3.991342,10,86,24,5
388,3.991612,10,86,24,5
389,3.991869,10,86,24,5
390,3.992124,10,86,24,5
391,3.992381,10,86,24,5
392,3.992634,10,86,24,5
393,3.992895,10,86,24,5
394,3.993154,10,86,24,5
395,3.993409,10,86,24,5
396,3.993665,10,86,24,5
397,3.993916,10,86,24,5
398,3.994181,10,86,24,5
399,3.994437,10,86,24,5
400,3.994693,10,86,24,5
401,3.994951,10,86,24,5
402,3.995211,10,86,24,5
403,3.995468,10,86,24,5
404,3.995722,10,86,24,5
405,3.995978,10,86,24,5
406,3.996238,10,86,24,5
